destination_country,entry_reasons,year,permits,source
Belgique,famille,2015,695,eurostat
Bulgarie,famille,2015,0,eurostat
Tchéquie,famille,2015,15,eurostat
Danemark,famille,2015,55,eurostat
Allemagne,famille,2015,748,eurostat
Estonie,famille,2015,2,eurostat
Irlande,famille,2015,8,eurostat
Grèce,famille,2015,4,eurostat
Espagne,famille,2015,181,eurostat
France,famille,2015,2196,eurostat
Croatie,famille,2015,1,eurostat
Italie,famille,2015,330,eurostat
Chypre,famille,2015,10,eurostat
Lettonie,famille,2015,2,eurostat
Lituanie,famille,2015,0,eurostat
Luxembourg,famille,2015,65,eurostat
Hongrie,famille,2015,26,eurostat
Malte,famille,2015,1,eurostat
Pays-Bas,famille,2015,36,eurostat
Autriche,famille,2015,19,eurostat
Pologne,famille,2015,2,eurostat
Portugal,famille,2015,16,eurostat
Roumanie,famille,2015,9,eurostat
Slovénie,famille,2015,1,eurostat
Slovaquie,famille,2015,1,eurostat
Finlande,famille,2015,68,eurostat
Suède,famille,2015,114,eurostat
Islande,famille,2015,0,eurostat
Liechtenstein,famille,2015,0,eurostat
Norvège,famille,2015,29,eurostat
Suisse,famille,2015,144,eurostat
United Kingdom,famille,2015,221,eurostat
Serbie,famille,2015,0,eurostat
Belgique,famille,2016,610,eurostat
Bulgarie,famille,2016,0,eurostat
Tchéquie,famille,2016,9,eurostat
Danemark,famille,2016,61,eurostat
Allemagne,famille,2016,686,eurostat
Estonie,famille,2016,1,eurostat
Irlande,famille,2016,11,eurostat
Grèce,famille,2016,3,eurostat
Espagne,famille,2016,180,eurostat
France,famille,2016,2088,eurostat
Croatie,famille,2016,1,eurostat
Italie,famille,2016,446,eurostat
Chypre,famille,2016,8,eurostat
Lettonie,famille,2016,1,eurostat
Lituanie,famille,2016,0,eurostat
Luxembourg,famille,2016,52,eurostat
Hongrie,famille,2016,33,eurostat
Malte,famille,2016,1,eurostat
Pays-Bas,famille,2016,35,eurostat
Autriche,famille,2016,22,eurostat
Pologne,famille,2016,2,eurostat
Portugal,famille,2016,11,eurostat
Roumanie,famille,2016,2,eurostat
Slovénie,famille,2016,0,eurostat
Slovaquie,famille,2016,0,eurostat
Finlande,famille,2016,69,eurostat
Suède,famille,2016,112,eurostat
Islande,famille,2016,1,eurostat
Liechtenstein,famille,2016,0,eurostat
Norvège,famille,2016,18,eurostat
Suisse,famille,2016,127,eurostat
United Kingdom,famille,2016,218,eurostat
Serbie,famille,2016,0,eurostat
Belgique,famille,2017,600,eurostat
Bulgarie,famille,2017,2,eurostat
Tchéquie,famille,2017,9,eurostat
Danemark,famille,2017,78,eurostat
Allemagne,famille,2017,701,eurostat
Estonie,famille,2017,2,eurostat
Irlande,famille,2017,8,eurostat
Grèce,famille,2017,4,eurostat
Espagne,famille,2017,194,eurostat
France,famille,2017,2434,eurostat
Croatie,famille,2017,1,eurostat
Italie,famille,2017,507,eurostat
Chypre,famille,2017,8,eurostat
Lettonie,famille,2017,0,eurostat
Lituanie,famille,2017,0,eurostat
Luxembourg,famille,2017,65,eurostat
Hongrie,famille,2017,19,eurostat
Malte,famille,2017,2,eurostat
Pays-Bas,famille,2017,48,eurostat
Autriche,famille,2017,19,eurostat
Pologne,famille,2017,14,eurostat
Portugal,famille,2017,4,eurostat
Roumanie,famille,2017,9,eurostat
Slovénie,famille,2017,3,eurostat
Slovaquie,famille,2017,0,eurostat
Finlande,famille,2017,69,eurostat
Suède,famille,2017,112,eurostat
Islande,famille,2017,0,eurostat
Liechtenstein,famille,2017,0,eurostat
Norvège,famille,2017,15,eurostat
Suisse,famille,2017,115,eurostat
United Kingdom,famille,2017,241,eurostat
Serbie,famille,2017,0,eurostat
Belgique,famille,2018,732,eurostat
Bulgarie,famille,2018,1,eurostat
Tchéquie,famille,2018,7,eurostat
Danemark,famille,2018,68,eurostat
Allemagne,famille,2018,832,eurostat
Estonie,famille,2018,1,eurostat
Irlande,famille,2018,6,eurostat
Grèce,famille,2018,2,eurostat
Espagne,famille,2018,209,eurostat
France,famille,2018,2197,eurostat
Croatie,famille,2018,1,eurostat
Italie,famille,2018,434,eurostat
Chypre,famille,2018,8,eurostat
Lettonie,famille,2018,0,eurostat
Lituanie,famille,2018,0,eurostat
Luxembourg,famille,2018,102,eurostat
Hongrie,famille,2018,27,eurostat
Malte,famille,2018,1,eurostat
Pays-Bas,famille,2018,38,eurostat
Autriche,famille,2018,22,eurostat
Pologne,famille,2018,12,eurostat
Portugal,famille,2018,21,eurostat
Roumanie,famille,2018,7,eurostat
Slovénie,famille,2018,2,eurostat
Slovaquie,famille,2018,0,eurostat
Finlande,famille,2018,55,eurostat
Suède,famille,2018,114,eurostat
Islande,famille,2018,0,eurostat
Liechtenstein,famille,2018,0,eurostat
Norvège,famille,2018,20,eurostat
Suisse,famille,2018,122,eurostat
United Kingdom,famille,2018,281,eurostat
Serbie,famille,2018,0,eurostat
Belgique,famille,2019,790,eurostat
Bulgarie,famille,2019,1,eurostat
Tchéquie,famille,2019,7,eurostat
Danemark,famille,2019,53,eurostat
Allemagne,famille,2019,817,eurostat
Estonie,famille,2019,6,eurostat
Irlande,famille,2019,6,eurostat
Grèce,famille,2019,2,eurostat
Espagne,famille,2019,195,eurostat
France,famille,2019,2324,eurostat
Croatie,famille,2019,3,eurostat
Italie,famille,2019,279,eurostat
Chypre,famille,2019,23,eurostat
Lettonie,famille,2019,0,eurostat
Lituanie,famille,2019,2,eurostat
Luxembourg,famille,2019,78,eurostat
Hongrie,famille,2019,2,eurostat
Malte,famille,2019,0,eurostat
Pays-Bas,famille,2019,45,eurostat
Autriche,famille,2019,11,eurostat
Pologne,famille,2019,10,eurostat
Portugal,famille,2019,17,eurostat
Roumanie,famille,2019,12,eurostat
Slovénie,famille,2019,3,eurostat
Slovaquie,famille,2019,1,eurostat
Finlande,famille,2019,63,eurostat
Suède,famille,2019,123,eurostat
Islande,famille,2019,2,eurostat
Liechtenstein,famille,2019,0,eurostat
Norvège,famille,2019,13,eurostat
Suisse,famille,2019,113,eurostat
United Kingdom,famille,2019,0,eurostat
Serbie,famille,2019,0,eurostat
Belgique,famille,2020,765,eurostat
Bulgarie,famille,2020,0,eurostat
Tchéquie,famille,2020,7,eurostat
Danemark,famille,2020,64,eurostat
Allemagne,famille,2020,753,eurostat
Estonie,famille,2020,5,eurostat
Irlande,famille,2020,1,eurostat
Grèce,famille,2020,4,eurostat
Espagne,famille,2020,143,eurostat
France,famille,2020,2229,eurostat
Croatie,famille,2020,4,eurostat
Italie,famille,2020,175,eurostat
Chypre,famille,2020,25,eurostat
Lettonie,famille,2020,1,eurostat
Lituanie,famille,2020,0,eurostat
Luxembourg,famille,2020,66,eurostat
Hongrie,famille,2020,3,eurostat
Malte,famille,2020,0,eurostat
Pays-Bas,famille,2020,45,eurostat
Autriche,famille,2020,12,eurostat
Pologne,famille,2020,6,eurostat
Portugal,famille,2020,13,eurostat
Roumanie,famille,2020,9,eurostat
Slovénie,famille,2020,2,eurostat
Slovaquie,famille,2020,0,eurostat
Finlande,famille,2020,80,eurostat
Suède,famille,2020,95,eurostat
Islande,famille,2020,2,eurostat
Liechtenstein,famille,2020,0,eurostat
Norvège,famille,2020,6,eurostat
Suisse,famille,2020,114,eurostat
United Kingdom,famille,2020,0,eurostat
Serbie,famille,2020,0,eurostat
Belgique,famille,2021,1125,eurostat
Bulgarie,famille,2021,1,eurostat
Tchéquie,famille,2021,3,eurostat
Danemark,famille,2021,45,eurostat
Allemagne,famille,2021,1065,eurostat
Estonie,famille,2021,10,eurostat
Irlande,famille,2021,9,eurostat
Grèce,famille,2021,3,eurostat
Espagne,famille,2021,264,eurostat
France,famille,2021,2639,eurostat
Croatie,famille,2021,2,eurostat
Italie,famille,2021,455,eurostat
Chypre,famille,2021,27,eurostat
Lettonie,famille,2021,0,eurostat
Lituanie,famille,2021,2,eurostat
Luxembourg,famille,2021,80,eurostat
Hongrie,famille,2021,8,eurostat
Malte,famille,2021,0,eurostat
Pays-Bas,famille,2021,46,eurostat
Autriche,famille,2021,13,eurostat
Pologne,famille,2021,9,eurostat
Portugal,famille,2021,9,eurostat
Roumanie,famille,2021,12,eurostat
Slovénie,famille,2021,0,eurostat
Slovaquie,famille,2021,1,eurostat
Finlande,famille,2021,115,eurostat
Suède,famille,2021,82,eurostat
Islande,famille,2021,1,eurostat
Liechtenstein,famille,2021,0,eurostat
Norvège,famille,2021,16,eurostat
Suisse,famille,2021,88,eurostat
United Kingdom,famille,2021,0,eurostat
Serbie,famille,2021,0,eurostat
Belgique,famille,2022,1055,eurostat
Bulgarie,famille,2022,6,eurostat
Tchéquie,famille,2022,7,eurostat
Danemark,famille,2022,64,eurostat
Allemagne,famille,2022,1236,eurostat
Estonie,famille,2022,11,eurostat
Irlande,famille,2022,6,eurostat
Grèce,famille,2022,2,eurostat
Espagne,famille,2022,239,eurostat
France,famille,2022,2557,eurostat
Croatie,famille,2022,0,eurostat
Italie,famille,2022,513,eurostat
Chypre,famille,2022,22,eurostat
Lettonie,famille,2022,0,eurostat
Lituanie,famille,2022,2,eurostat
Luxembourg,famille,2022,88,eurostat
Hongrie,famille,2022,5,eurostat
Malte,famille,2022,0,eurostat
Pays-Bas,famille,2022,61,eurostat
Autriche,famille,2022,21,eurostat
Pologne,famille,2022,17,eurostat
Portugal,famille,2022,23,eurostat
Roumanie,famille,2022,10,eurostat
Slovénie,famille,2022,2,eurostat
Slovaquie,famille,2022,4,eurostat
Finlande,famille,2022,89,eurostat
Suède,famille,2022,98,eurostat
Islande,famille,2022,3,eurostat
Liechtenstein,famille,2022,0,eurostat
Norvège,famille,2022,25,eurostat
Suisse,famille,2022,101,eurostat
United Kingdom,famille,2022,0,eurostat
Serbie,famille,2022,0,eurostat
Belgique,famille,2023,1039,eurostat
Bulgarie,famille,2023,1,eurostat
Tchéquie,famille,2023,11,eurostat
Danemark,famille,2023,66,eurostat
Allemagne,famille,2023,1461,eurostat
Estonie,famille,2023,8,eurostat
Irlande,famille,2023,3,eurostat
Grèce,famille,2023,1,eurostat
Espagne,famille,2023,321,eurostat
France,famille,2023,2397,eurostat
Croatie,famille,2023,0,eurostat
Italie,famille,2023,521,eurostat
Chypre,famille,2023,24,eurostat
Lettonie,famille,2023,1,eurostat
Lituanie,famille,2023,2,eurostat
Luxembourg,famille,2023,136,eurostat
Hongrie,famille,2023,2,eurostat
Malte,famille,2023,4,eurostat
Pays-Bas,famille,2023,57,eurostat
Autriche,famille,2023,27,eurostat
Pologne,famille,2023,19,eurostat
Portugal,famille,2023,12,eurostat
Roumanie,famille,2023,14,eurostat
Slovénie,famille,2023,2,eurostat
Slovaquie,famille,2023,2,eurostat
Finlande,famille,2023,154,eurostat
Suède,famille,2023,96,eurostat
Islande,famille,2023,4,eurostat
Liechtenstein,famille,2023,0,eurostat
Norvège,famille,2023,26,eurostat
Suisse,famille,2023,151,eurostat
United Kingdom,famille,2023,0,eurostat
Serbie,famille,2023,0,eurostat
Belgique,famille,2024,1178,eurostat
Bulgarie,famille,2024,5,eurostat
Tchéquie,famille,2024,13,eurostat
Danemark,famille,2024,77,eurostat
Allemagne,famille,2024,1151,eurostat
Estonie,famille,2024,8,eurostat
Irlande,famille,2024,7,eurostat
Grèce,famille,2024,2,eurostat
Espagne,famille,2024,329,eurostat
France,famille,2024,2394,eurostat
Croatie,famille,2024,3,eurostat
Italie,famille,2024,505,eurostat
Chypre,famille,2024,11,eurostat
Lettonie,famille,2024,2,eurostat
Lituanie,famille,2024,0,eurostat
Luxembourg,famille,2024,154,eurostat
Hongrie,famille,2024,14,eurostat
Malte,famille,2024,6,eurostat
Pays-Bas,famille,2024,38,eurostat
Autriche,famille,2024,14,eurostat
Pologne,famille,2024,11,eurostat
Portugal,famille,2024,7,eurostat
Roumanie,famille,2024,10,eurostat
Slovénie,famille,2024,0,eurostat
Slovaquie,famille,2024,3,eurostat
Finlande,famille,2024,177,eurostat
Suède,famille,2024,110,eurostat
Islande,famille,2024,0,eurostat
Liechtenstein,famille,2024,0,eurostat
Norvège,famille,2024,27,eurostat
Suisse,famille,2024,168,eurostat
United Kingdom,famille,2024,0,eurostat
Serbie,famille,2024,0,eurostat
Belgique,etude,2015,652,eurostat
Bulgarie,etude,2015,4,eurostat
Tchéquie,etude,2015,10,eurostat
Danemark,etude,2015,40,eurostat
Allemagne,etude,2015,526,eurostat
Estonie,etude,2015,13,eurostat
Irlande,etude,2015,13,eurostat
Grèce,etude,2015,1,eurostat
Espagne,etude,2015,37,eurostat
France,etude,2015,1201,eurostat
Croatie,etude,2015,2,eurostat
Italie,etude,2015,278,eurostat
Chypre,etude,2015,9,eurostat
Lettonie,etude,2015,2,eurostat
Lituanie,etude,2015,4,eurostat
Luxembourg,etude,2015,6,eurostat
Hongrie,etude,2015,79,eurostat
Malte,etude,2015,13,eurostat
Pays-Bas,etude,2015,22,eurostat
Autriche,etude,2015,4,eurostat
Pologne,etude,2015,20,eurostat
Portugal,etude,2015,8,eurostat
Roumanie,etude,2015,12,eurostat
Slovénie,etude,2015,0,eurostat
Slovaquie,etude,2015,0,eurostat
Finlande,etude,2015,44,eurostat
Suède,etude,2015,24,eurostat
Islande,etude,2015,0,eurostat
Liechtenstein,etude,2015,0,eurostat
Norvège,etude,2015,24,eurostat
Suisse,etude,2015,37,eurostat
United Kingdom,etude,2015,216,eurostat
Serbie,etude,2015,0,eurostat
Belgique,etude,2016,799,eurostat
Bulgarie,etude,2016,8,eurostat
Tchéquie,etude,2016,7,eurostat
Danemark,etude,2016,28,eurostat
Allemagne,etude,2016,835,eurostat
Estonie,etude,2016,19,eurostat
Irlande,etude,2016,4,eurostat
Grèce,etude,2016,1,eurostat
Espagne,etude,2016,43,eurostat
France,etude,2016,1131,eurostat
Croatie,etude,2016,3,eurostat
Italie,etude,2016,194,eurostat
Chypre,etude,2016,10,eurostat
Lettonie,etude,2016,5,eurostat
Lituanie,etude,2016,5,eurostat
Luxembourg,etude,2016,5,eurostat
Hongrie,etude,2016,116,eurostat
Malte,etude,2016,22,eurostat
Pays-Bas,etude,2016,23,eurostat
Autriche,etude,2016,2,eurostat
Pologne,etude,2016,26,eurostat
Portugal,etude,2016,25,eurostat
Roumanie,etude,2016,19,eurostat
Slovénie,etude,2016,1,eurostat
Slovaquie,etude,2016,1,eurostat
Finlande,etude,2016,34,eurostat
Suède,etude,2016,15,eurostat
Islande,etude,2016,2,eurostat
Liechtenstein,etude,2016,1,eurostat
Norvège,etude,2016,28,eurostat
Suisse,etude,2016,39,eurostat
United Kingdom,etude,2016,171,eurostat
Serbie,etude,2016,0,eurostat
Belgique,etude,2017,788,eurostat
Bulgarie,etude,2017,3,eurostat
Tchéquie,etude,2017,10,eurostat
Danemark,etude,2017,24,eurostat
Allemagne,etude,2017,614,eurostat
Estonie,etude,2017,31,eurostat
Irlande,etude,2017,11,eurostat
Grèce,etude,2017,3,eurostat
Espagne,etude,2017,42,eurostat
France,etude,2017,1379,eurostat
Croatie,etude,2017,1,eurostat
Italie,etude,2017,233,eurostat
Chypre,etude,2017,28,eurostat
Lettonie,etude,2017,1,eurostat
Lituanie,etude,2017,15,eurostat
Luxembourg,etude,2017,6,eurostat
Hongrie,etude,2017,87,eurostat
Malte,etude,2017,8,eurostat
Pays-Bas,etude,2017,29,eurostat
Autriche,etude,2017,0,eurostat
Pologne,etude,2017,28,eurostat
Portugal,etude,2017,3,eurostat
Roumanie,etude,2017,27,eurostat
Slovénie,etude,2017,0,eurostat
Slovaquie,etude,2017,1,eurostat
Finlande,etude,2017,30,eurostat
Suède,etude,2017,37,eurostat
Islande,etude,2017,1,eurostat
Liechtenstein,etude,2017,1,eurostat
Norvège,etude,2017,42,eurostat
Suisse,etude,2017,30,eurostat
United Kingdom,etude,2017,145,eurostat
Serbie,etude,2017,0,eurostat
Belgique,etude,2018,756,eurostat
Bulgarie,etude,2018,0,eurostat
Tchéquie,etude,2018,9,eurostat
Danemark,etude,2018,22,eurostat
Allemagne,etude,2018,1040,eurostat
Estonie,etude,2018,23,eurostat
Irlande,etude,2018,9,eurostat
Grèce,etude,2018,1,eurostat
Espagne,etude,2018,60,eurostat
France,etude,2018,1767,eurostat
Croatie,etude,2018,0,eurostat
Italie,etude,2018,327,eurostat
Chypre,etude,2018,36,eurostat
Lettonie,etude,2018,5,eurostat
Lituanie,etude,2018,23,eurostat
Luxembourg,etude,2018,13,eurostat
Hongrie,etude,2018,35,eurostat
Malte,etude,2018,27,eurostat
Pays-Bas,etude,2018,34,eurostat
Autriche,etude,2018,1,eurostat
Pologne,etude,2018,37,eurostat
Portugal,etude,2018,10,eurostat
Roumanie,etude,2018,60,eurostat
Slovénie,etude,2018,0,eurostat
Slovaquie,etude,2018,2,eurostat
Finlande,etude,2018,16,eurostat
Suède,etude,2018,73,eurostat
Islande,etude,2018,0,eurostat
Liechtenstein,etude,2018,1,eurostat
Norvège,etude,2018,33,eurostat
Suisse,etude,2018,30,eurostat
United Kingdom,etude,2018,124,eurostat
Serbie,etude,2018,0,eurostat
Belgique,etude,2019,775,eurostat
Bulgarie,etude,2019,0,eurostat
Tchéquie,etude,2019,12,eurostat
Danemark,etude,2019,15,eurostat
Allemagne,etude,2019,1692,eurostat
Estonie,etude,2019,43,eurostat
Irlande,etude,2019,12,eurostat
Grèce,etude,2019,8,eurostat
Espagne,etude,2019,90,eurostat
France,etude,2019,2048,eurostat
Croatie,etude,2019,1,eurostat
Italie,etude,2019,197,eurostat
Chypre,etude,2019,31,eurostat
Lettonie,etude,2019,20,eurostat
Lituanie,etude,2019,69,eurostat
Luxembourg,etude,2019,14,eurostat
Hongrie,etude,2019,25,eurostat
Malte,etude,2019,5,eurostat
Pays-Bas,etude,2019,36,eurostat
Autriche,etude,2019,3,eurostat
Pologne,etude,2019,34,eurostat
Portugal,etude,2019,11,eurostat
Roumanie,etude,2019,59,eurostat
Slovénie,etude,2019,0,eurostat
Slovaquie,etude,2019,1,eurostat
Finlande,etude,2019,9,eurostat
Suède,etude,2019,112,eurostat
Islande,etude,2019,1,eurostat
Liechtenstein,etude,2019,0,eurostat
Norvège,etude,2019,37,eurostat
Suisse,etude,2019,24,eurostat
United Kingdom,etude,2019,0,eurostat
Serbie,etude,2019,0,eurostat
Belgique,etude,2020,665,eurostat
Bulgarie,etude,2020,0,eurostat
Tchéquie,etude,2020,14,eurostat
Danemark,etude,2020,16,eurostat
Allemagne,etude,2020,1317,eurostat
Estonie,etude,2020,8,eurostat
Irlande,etude,2020,6,eurostat
Grèce,etude,2020,3,eurostat
Espagne,etude,2020,104,eurostat
France,etude,2020,2062,eurostat
Croatie,etude,2020,0,eurostat
Italie,etude,2020,58,eurostat
Chypre,etude,2020,22,eurostat
Lettonie,etude,2020,55,eurostat
Lituanie,etude,2020,52,eurostat
Luxembourg,etude,2020,7,eurostat
Hongrie,etude,2020,9,eurostat
Malte,etude,2020,3,eurostat
Pays-Bas,etude,2020,41,eurostat
Autriche,etude,2020,2,eurostat
Pologne,etude,2020,47,eurostat
Portugal,etude,2020,10,eurostat
Roumanie,etude,2020,49,eurostat
Slovénie,etude,2020,0,eurostat
Slovaquie,etude,2020,0,eurostat
Finlande,etude,2020,41,eurostat
Suède,etude,2020,110,eurostat
Islande,etude,2020,2,eurostat
Liechtenstein,etude,2020,0,eurostat
Norvège,etude,2020,16,eurostat
Suisse,etude,2020,33,eurostat
United Kingdom,etude,2020,0,eurostat
Serbie,etude,2020,0,eurostat
Belgique,etude,2021,1441,eurostat
Bulgarie,etude,2021,1,eurostat
Tchéquie,etude,2021,23,eurostat
Danemark,etude,2021,24,eurostat
Allemagne,etude,2021,1292,eurostat
Estonie,etude,2021,14,eurostat
Irlande,etude,2021,11,eurostat
Grèce,etude,2021,1,eurostat
Espagne,etude,2021,103,eurostat
France,etude,2021,2978,eurostat
Croatie,etude,2021,0,eurostat
Italie,etude,2021,134,eurostat
Chypre,etude,2021,29,eurostat
Lettonie,etude,2021,142,eurostat
Lituanie,etude,2021,70,eurostat
Luxembourg,etude,2021,35,eurostat
Hongrie,etude,2021,15,eurostat
Malte,etude,2021,0,eurostat
Pays-Bas,etude,2021,41,eurostat
Autriche,etude,2021,4,eurostat
Pologne,etude,2021,57,eurostat
Portugal,etude,2021,15,eurostat
Roumanie,etude,2021,44,eurostat
Slovénie,etude,2021,0,eurostat
Slovaquie,etude,2021,0,eurostat
Finlande,etude,2021,49,eurostat
Suède,etude,2021,61,eurostat
Islande,etude,2021,0,eurostat
Liechtenstein,etude,2021,0,eurostat
Norvège,etude,2021,15,eurostat
Suisse,etude,2021,32,eurostat
United Kingdom,etude,2021,0,eurostat
Serbie,etude,2021,0,eurostat
Belgique,etude,2022,921,eurostat
Bulgarie,etude,2022,1,eurostat
Tchéquie,etude,2022,19,eurostat
Danemark,etude,2022,24,eurostat
Allemagne,etude,2022,1348,eurostat
Estonie,etude,2022,7,eurostat
Irlande,etude,2022,19,eurostat
Grèce,etude,2022,0,eurostat
Espagne,etude,2022,102,eurostat
France,etude,2022,3656,eurostat
Croatie,etude,2022,0,eurostat
Italie,etude,2022,220,eurostat
Chypre,etude,2022,13,eurostat
Lettonie,etude,2022,141,eurostat
Lituanie,etude,2022,83,eurostat
Luxembourg,etude,2022,60,eurostat
Hongrie,etude,2022,21,eurostat
Malte,etude,2022,6,eurostat
Pays-Bas,etude,2022,39,eurostat
Autriche,etude,2022,5,eurostat
Pologne,etude,2022,45,eurostat
Portugal,etude,2022,5,eurostat
Roumanie,etude,2022,44,eurostat
Slovénie,etude,2022,1,eurostat
Slovaquie,etude,2022,0,eurostat
Finlande,etude,2022,95,eurostat
Suède,etude,2022,31,eurostat
Islande,etude,2022,1,eurostat
Liechtenstein,etude,2022,0,eurostat
Norvège,etude,2022,10,eurostat
Suisse,etude,2022,49,eurostat
United Kingdom,etude,2022,0,eurostat
Serbie,etude,2022,0,eurostat
Belgique,etude,2023,883,eurostat
Bulgarie,etude,2023,1,eurostat
Tchéquie,etude,2023,17,eurostat
Danemark,etude,2023,29,eurostat
Allemagne,etude,2023,1670,eurostat
Estonie,etude,2023,4,eurostat
Irlande,etude,2023,15,eurostat
Grèce,etude,2023,1,eurostat
Espagne,etude,2023,118,eurostat
France,etude,2023,4490,eurostat
Croatie,etude,2023,0,eurostat
Italie,etude,2023,420,eurostat
Chypre,etude,2023,2,eurostat
Lettonie,etude,2023,71,eurostat
Lituanie,etude,2023,158,eurostat
Luxembourg,etude,2023,62,eurostat
Hongrie,etude,2023,25,eurostat
Malte,etude,2023,68,eurostat
Pays-Bas,etude,2023,40,eurostat
Autriche,etude,2023,12,eurostat
Pologne,etude,2023,29,eurostat
Portugal,etude,2023,13,eurostat
Roumanie,etude,2023,24,eurostat
Slovénie,etude,2023,1,eurostat
Slovaquie,etude,2023,0,eurostat
Finlande,etude,2023,166,eurostat
Suède,etude,2023,22,eurostat
Islande,etude,2023,3,eurostat
Liechtenstein,etude,2023,0,eurostat
Norvège,etude,2023,8,eurostat
Suisse,etude,2023,48,eurostat
United Kingdom,etude,2023,0,eurostat
Serbie,etude,2023,0,eurostat
Belgique,etude,2024,914,eurostat
Bulgarie,etude,2024,1,eurostat
Tchéquie,etude,2024,8,eurostat
Danemark,etude,2024,47,eurostat
Allemagne,etude,2024,1788,eurostat
Estonie,etude,2024,2,eurostat
Irlande,etude,2024,10,eurostat
Grèce,etude,2024,0,eurostat
Espagne,etude,2024,103,eurostat
France,etude,2024,5190,eurostat
Croatie,etude,2024,1,eurostat
Italie,etude,2024,402,eurostat
Chypre,etude,2024,3,eurostat
Lettonie,etude,2024,21,eurostat
Lituanie,etude,2024,203,eurostat
Luxembourg,etude,2024,83,eurostat
Hongrie,etude,2024,46,eurostat
Malte,etude,2024,69,eurostat
Pays-Bas,etude,2024,35,eurostat
Autriche,etude,2024,7,eurostat
Pologne,etude,2024,15,eurostat
Portugal,etude,2024,12,eurostat
Roumanie,etude,2024,19,eurostat
Slovénie,etude,2024,4,eurostat
Slovaquie,etude,2024,1,eurostat
Finlande,etude,2024,70,eurostat
Suède,etude,2024,30,eurostat
Islande,etude,2024,4,eurostat
Liechtenstein,etude,2024,2,eurostat
