destination_country,year,permits,source,nature
Belgium,2020,0,eurostat,status_change
Bulgaria,2020,0,eurostat,status_change
Czechia,2020,0,eurostat,status_change
Denmark,2020,0,eurostat,status_change
Germany,2020,0,eurostat,status_change
Estonia,2020,0,eurostat,status_change
Ireland,2020,0,eurostat,status_change
Greece,2020,0,eurostat,status_change
Spain,2020,0,eurostat,status_change
France,2020,2410,eurostat,status_change
Croatia,2020,0,eurostat,status_change
Italy,2020,0,eurostat,status_change
Cyprus,2020,0,eurostat,status_change
Latvia,2020,0,eurostat,status_change
Lithuania,2020,0,eurostat,status_change
Luxembourg,2020,0,eurostat,status_change
Hungary,2020,0,eurostat,status_change
Malta,2020,0,eurostat,status_change
Netherlands,2020,0,eurostat,status_change
Austria,2020,0,eurostat,status_change
Poland,2020,0,eurostat,status_change
Portugal,2020,0,eurostat,status_change
Romania,2020,0,eurostat,status_change
Slovenia,2020,0,eurostat,status_change
Slovakia,2020,0,eurostat,status_change
Finland,2020,36,eurostat,status_change
Sweden,2020,24,eurostat,status_change
Iceland,2020,1,eurostat,status_change
Liechtenstein,2020,0,eurostat,status_change
Norway,2020,0,eurostat,status_change
Serbia,2020,0,eurostat,status_change
Belgium,2021,426,eurostat,status_change
Bulgaria,2021,0,eurostat,status_change
Czechia,2021,3,eurostat,status_change
Denmark,2021,14,eurostat,status_change
Germany,2021,236,eurostat,status_change
Estonia,2021,15,eurostat,status_change
Ireland,2021,9,eurostat,status_change
Greece,2021,6,eurostat,status_change
Spain,2021,109,eurostat,status_change
France,2021,3016,eurostat,status_change
Croatia,2021,3,eurostat,status_change
Italy,2021,237,eurostat,status_change
Cyprus,2021,0,eurostat,status_change
Latvia,2021,6,eurostat,status_change
Lithuania,2021,41,eurostat,status_change
Luxembourg,2021,27,eurostat,status_change
Hungary,2021,6,eurostat,status_change
Malta,2021,0,eurostat,status_change
Netherlands,2021,17,eurostat,status_change
Austria,2021,0,eurostat,status_change
Poland,2021,4,eurostat,status_change
Portugal,2021,7,eurostat,status_change
Romania,2021,7,eurostat,status_change
Slovenia,2021,0,eurostat,status_change
Slovakia,2021,0,eurostat,status_change
Finland,2021,28,eurostat,status_change
Sweden,2021,28,eurostat,status_change
Iceland,2021,0,eurostat,status_change
Liechtenstein,2021,0,eurostat,status_change
Norway,2021,13,eurostat,status_change
Serbia,2021,0,eurostat,status_change
Belgium,2022,504,eurostat,status_change
Bulgaria,2022,1,eurostat,status_change
Czechia,2022,8,eurostat,status_change
Denmark,2022,35,eurostat,status_change
Germany,2022,517,eurostat,status_change
Estonia,2022,13,eurostat,status_change
Ireland,2022,67,eurostat,status_change
Greece,2022,1,eurostat,status_change
Spain,2022,145,eurostat,status_change
France,2022,3359,eurostat,status_change
Croatia,2022,2,eurostat,status_change
Italy,2022,273,eurostat,status_change
Cyprus,2022,0,eurostat,status_change
Latvia,2022,10,eurostat,status_change
Lithuania,2022,76,eurostat,status_change
Luxembourg,2022,35,eurostat,status_change
Hungary,2022,7,eurostat,status_change
Malta,2022,0,eurostat,status_change
Netherlands,2022,25,eurostat,status_change
Austria,2022,0,eurostat,status_change
Poland,2022,0,eurostat,status_change
Portugal,2022,5,eurostat,status_change
Romania,2022,12,eurostat,status_change
Slovenia,2022,1,eurostat,status_change
Slovakia,2022,0,eurostat,status_change
Finland,2022,30,eurostat,status_change
Sweden,2022,32,eurostat,status_change
Iceland,2022,0,eurostat,status_change
Liechtenstein,2022,0,eurostat,status_change
Norway,2022,8,eurostat,status_change
Serbia,2022,0,eurostat,status_change
Belgium,2023,656,eurostat,status_change
Bulgaria,2023,0,eurostat,status_change
Czechia,2023,16,eurostat,status_change
Denmark,2023,14,eurostat,status_change
Germany,2023,585,eurostat,status_change
Estonia,2023,4,eurostat,status_change
Ireland,2023,14,eurostat,status_change
Greece,2023,5,eurostat,status_change
Spain,2023,170,eurostat,status_change
France,2023,4130,eurostat,status_change
Croatia,2023,1,eurostat,status_change
Italy,2023,294,eurostat,status_change
Cyprus,2023,1,eurostat,status_change
Latvia,2023,11,eurostat,status_change
Lithuania,2023,42,eurostat,status_change
Luxembourg,2023,26,eurostat,status_change
Hungary,2023,7,eurostat,status_change
Malta,2023,0,eurostat,status_change
Netherlands,2023,24,eurostat,status_change
Austria,2023,1,eurostat,status_change
Poland,2023,26,eurostat,status_change
Portugal,2023,2,eurostat,status_change
Romania,2023,17,eurostat,status_change
Slovenia,2023,0,eurostat,status_change
Slovakia,2023,0,eurostat,status_change
Finland,2023,48,eurostat,status_change
Sweden,2023,30,eurostat,status_change
Iceland,2023,0,eurostat,status_change
Liechtenstein,2023,1,eurostat,status_change
Norway,2023,6,eurostat,status_change
Serbia,2023,0,eurostat,status_change
Belgium,2024,548,eurostat,status_change
Bulgaria,2024,1,eurostat,status_change
Czechia,2024,10,eurostat,status_change
Denmark,2024,10,eurostat,status_change
Germany,2024,496,eurostat,status_change
Estonia,2024,5,eurostat,status_change
Ireland,2024,24,eurostat,status_change
Greece,2024,3,eurostat,status_change
Spain,2024,138,eurostat,status_change
France,2024,5007,eurostat,status_change
Croatia,2024,2,eurostat,status_change
Italy,2024,229,eurostat,status_change
Cyprus,2024,2,eurostat,status_change
Latvia,2024,12,eurostat,status_change
Lithuania,2024,1,eurostat,status_change
Luxembourg,2024,44,eurostat,status_change
Hungary,2024,0,eurostat,status_change
Malta,2024,5,eurostat,status_change
Netherlands,2024,11,eurostat,status_change
Austria,2024,4,eurostat,status_change
Poland,2024,15,eurostat,status_change
Portugal,2024,1,eurostat,status_change
Romania,2024,12,eurostat,status_change
Slovenia,2024,2,eurostat,status_change
Slovakia,2024,1,eurostat,status_change
Finland,2024,94,eurostat,status_change
Sweden,2024,19,eurostat,status_change
Iceland,2024,1,eurostat,status_change
Liechtenstein,2024,1,eurostat,status_change
Norway,2024,4,eurostat,status_change
Serbia,2024,0,eurostat,status_change
